V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,class
,2.6909,0.0,,0.0,0.0,0.0,31.4,,0.0,,,,,9.002,0.0,0.96,1.142,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2.949,,0.0,,0.0,,2
,2.1144,,,0.0,0.0,0.0,,,1.0,,0.0,2.461,,,1.0,0.989,1.144,,0.0,,1.104,1.0,,,,,-0.204,0.0,,1.542,0.0,0.0,,0.0,3.315,,,,0.0,0.0,2
3.932,3.2512,,0.0,0.0,0.0,0.0,26.7,2.0,,0.0,,3.279,2.585,,0.0,1.009,,0.0,0.0,0.0,,0.0,0.0,,0.0,1.942,-0.008,0.0,0.0,4.891,,,0.0,1.0,,,,,0.0,0.0,2
,,,0.0,0.0,0.0,,20.0,,2.0,0.0,,2.1,,6.594,0.0,,,0.0,0.0,,1.024,0.0,0.0,0.0,,,1.073,0.0,8.361,,0.0,0.0,0.0,1.0,,5.0,0.0,6.69,0.0,,2
4.236,,0.0,,,0.0,0.0,29.4,2.0,4.0,0.0,-0.271,3.449,2.753,9.528,2.0,,,,0.0,0.0,1.137,0.0,0.0,0.0,0.0,1.985,-0.002,0.0,10.348,,0.0,0.0,,,3.351,2.405,,,,0.0,2
4.236,3.4286,,0.0,0.0,,0.0,,,4.0,,-0.275,3.313,2.522,9.383,,1.014,1.149,0.0,0.0,,1.119,0.0,,,,1.98,,,10.276,4.746,0.0,0.0,0.0,,3.351,,0.0,7.904,0.0,0.0,2
,,1.0,,,,,,,3.0,0.0,0.0,,,9.657,,,1.153,0.0,0.0,0.0,,0.0,,,,2.0,,,,0.8,0.0,0.0,0.0,1.0,,4.583,0.0,9.303,,0.0,2
,3.8301,0.0,0.0,,0.0,,,3.0,2.0,0.0,,3.418,,,,0.98,1.142,0.0,,,,,0.0,,0.0,2.119,-0.002,,11.115,3.889,0.0,0.0,,,,,,,0.0,,2
,3.0777,0.0,0.0,0.0,0.0,,44.4,,,0.0,0.0,,,9.54,,0.968,1.115,0.0,0.0,0.0,,1.0,0.0,0.0,,,,0.0,0.0,1.069,0.0,0.0,0.0,,3.626,,0.0,,,0.0,2
5.04,3.6112,0.0,,1.0,,2.0,41.2,0.0,4.0,3.0,-1.29,3.483,,10.159,8.0,1.069,,0.0,,0.0,1.199,1.0,,,0.0,2.323,0.005,0.0,30.959,1.711,0.0,1.0,2.0,,,,,8.706,0.0,,2
,2.7414,0.0,,,,2.0,,0.0,2.0,,,3.364,,10.06,5.0,1.018,,0.0,0.0,0.0,1.279,3.0,0.0,0.0,0.0,,,,,1.207,0.0,1.0,0.0,0.0,3.767,,0.0,,0.0,0.0,2
3.618,2.1906,0.0,0.0,0.0,,,29.4,,0.0,,0.0,2.333,1.522,,,0.959,1.147,0.0,,,1.178,,0.0,0.0,,1.732,,,,2.094,0.0,,,0.0,2.794,,0.0,,0.0,,2
,,,,0.0,0.0,,30.0,3.0,0.0,0.0,,2.523,,,0.0,0.959,,0.0,0.0,,1.213,0.0,0.0,0.0,0.0,1.902,-0.181,0.0,0.0,,0.0,0.0,,,2.998,1.722,,6.77,,,2
3.732,2.3391,0.0,,,,0.0,,,,,0.0,2.511,1.585,8.16,0.0,0.959,1.145,0.0,0.0,0.0,,0.0,,0.0,,1.802,-0.181,,,,0.0,0.0,0.0,,2.846,1.667,0.0,,0.0,0.0,2
,2.5951,0.0,,0.0,0.0,,,2.0,,,0.0,2.908,2.281,8.743,,0.96,1.143,0.0,0.0,0.0,1.202,,0.0,,0.0,,0.036,0.0,,,0.0,0.0,,0.0,,1.611,0.0,7.029,0.0,0.0,2
,2.7719,1.0,,0.0,0.0,0.0,,2.0,,,,3.44,2.777,,0.0,0.969,,0.0,,,1.22,,0.0,1.0,0.0,1.95,0.003,0.0,,5.294,,0.0,0.0,0.0,3.542,1.739,0.0,8.127,0.0,,2
3.966,2.852,1.0,0.0,0.0,,,32.0,2.0,0.0,,0.0,4.075,3.146,9.522,,,,,0.0,0.0,,,1.0,0.0,0.0,,0.0,,0.0,6.909,0.0,,,0.0,,1.603,0.0,,0.0,,2
3.732,2.3761,0.0,0.0,1.0,0.0,0.0,26.3,,0.0,1.0,,,,,0.0,0.969,,0.0,0.0,0.0,,0.0,,,0.0,1.802,,,,2.488,,0.0,1.0,2.0,,,,,0.0,0.0,2
4.0,2.6264,0.0,0.0,0.0,0.0,,23.1,0.0,0.0,,,,0.811,,,0.972,1.166,,,0.0,1.182,,0.0,,,,,,0.0,1.0,,0.0,,,2.991,,1.0,6.579,,0.0,2
2.0,,,0.0,0.0,0.0,0.0,16.7,,1.0,0.0,0.0,1.549,0.0,,,1.016,1.173,0.0,,0.0,0.93,,,0.0,0.0,1.0,-1.099,0.0,0.0,1.0,0.0,0.0,,,,4.0,0.0,4.948,0.0,0.0,2
3.732,2.4062,0.0,,0.0,0.0,,27.8,,,,,2.555,1.585,8.16,,0.979,,,0.0,,1.134,0.0,,0.0,,1.802,-0.205,0.0,,,,,0.0,,,2.333,0.0,6.649,,,2
4.0,,0.0,0.0,,0.0,0.0,30.0,1.0,,0.0,,2.273,,8.482,,,1.146,0.0,0.0,0.0,1.09,1.0,0.0,0.0,0.0,2.17,0.34,0.0,,1.0,0.0,,0.0,,,,0.0,7.174,0.0,0.0,2
3.414,2.2525,,0.0,0.0,0.0,,20.0,2.0,,0.0,0.0,2.243,,7.408,0.0,1.031,,0.0,,0.0,,0.0,,0.0,,1.618,,0.0,,1.707,0.0,0.0,,2.0,2.817,,0.0,,0.0,0.0,2
4.17,2.8042,,0.0,,,,23.1,,2.0,0.0,0.0,2.449,,8.597,1.0,,1.16,0.0,,0.0,1.044,,0.0,,,1.848,0.391,0.0,,1.542,,,0.0,2.0,,,0.0,6.782,0.0,,2
4.303,2.9558,,0.0,0.0,0.0,,,2.0,2.0,0.0,,,,8.815,2.0,,,0.0,0.0,0.0,1.056,0.0,0.0,0.0,0.0,,-0.229,0.0,,,,0.0,0.0,,3.083,3.056,,6.914,0.0,,2
,2.6294,0.0,0.0,0.0,0.0,,37.5,,,,,2.333,1.0,,,,1.13,0.0,0.0,0.0,1.215,,,0.0,0.0,1.618,-0.66,0.0,0.0,,0.0,0.0,,,3.188,3.5,0.0,7.035,0.0,0.0,2
4.214,3.0057,,,0.0,,0.0,25.0,,2.0,0.0,,,1.459,,1.0,1.005,1.156,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,3.087,,,6.989,0.0,,2
,2.8521,0.0,0.0,0.0,,0.0,,2.0,2.0,,0.0,2.858,2.0,8.584,,0.993,1.151,0.0,0.0,,,,0.0,0.0,,1.879,-0.076,0.0,,3.284,,,0.0,1.0,,,0.0,,0.0,0.0,2
,2.3729,0.0,,0.0,0.0,,30.0,,1.0,,,2.263,,7.408,,0.998,1.146,0.0,0.0,0.0,1.142,0.0,0.0,,0.0,,,,9.174,,0.0,,,,3.038,,,6.735,0.0,0.0,2
,,,,,,,,3.0,1.0,0.0,2.487,3.233,2.187,,1.0,0.978,1.131,,0.0,0.0,1.259,,0.0,0.0,0.0,2.048,0.013,0.0,,,0.0,,0.0,0.0,,2.303,0.0,8.029,0.0,0.0,2
,,0.0,,,,0.0,31.3,3.0,1.0,,,,0.918,,2.0,0.984,,,0.0,0.0,,0.0,,0.0,,,-0.218,0.0,,1.521,0.0,,0.0,0.0,3.375,,0.0,,,0.0,2
4.0,,0.0,0.0,0.0,0.0,,,2.0,,0.0,,2.279,0.811,8.318,,,1.146,0.0,0.0,0.0,1.195,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,7.097,,,2
4.694,,0.0,0.0,0.0,,,30.0,2.0,,,,2.917,1.406,9.425,4.0,0.998,,0.0,,0.0,,,0.0,,,2.101,-0.077,,,1.631,,0.0,0.0,,,2.875,,7.595,,,2
4.236,,,0.0,0.0,0.0,0.0,33.3,0.0,,0.0,,,,10.082,2.0,0.972,1.138,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,10.389,10.108,0.0,0.0,0.0,,,,0.0,8.414,,,2
4.17,3.4453,,0.0,,0.0,0.0,,,,0.0,-0.245,2.512,0.971,8.597,,1.028,1.151,,0.0,0.0,1.112,0.0,0.0,0.0,,1.848,0.425,0.0,9.59,1.542,,0.0,0.0,0.0,,3.233,,7.294,,0.0,2
4.214,,0.0,0.0,0.0,0.0,,,,2.0,0.0,-0.211,,1.459,8.755,,,1.149,0.0,0.0,,,0.0,0.0,,0.0,1.902,,0.0,,2.052,,0.0,,0.0,3.344,2.944,,7.382,,,2
4.214,,0.0,0.0,0.0,,0.0,,1.0,,0.0,-0.329,2.713,1.459,8.755,1.0,1.025,1.139,0.0,,0.0,1.186,,,0.0,,,,0.0,9.75,2.052,0.0,,,0.0,3.38,3.194,,7.543,,0.0,2
