date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.0,2.0,,0.056443,0.439155,,,,UP
,,,0.051699,0.415055,,0.422915,,UP
0.0,2.0,,,0.385004,,0.422915,,UP
0.0,,,,,,,,UP
0.0,,,,,,0.422915,,DOWN
,2.0,0.106383,0.041161,0.207528,,0.422915,,DOWN
,2.0,0.12766,,0.171824,,0.422915,0.414912,DOWN
,2.0,,0.041161,0.152782,,0.422915,,DOWN
,2.0,0.170213,0.041161,0.13493,0.003467,,,DOWN
,2.0,0.191489,0.041161,0.140583,,,0.414912,DOWN
0.0,,,,,,,0.414912,UP
0.0,,,,0.212437,,,0.414912,UP
0.0,,,,0.298721,,,0.414912,UP
0.0,,0.276596,0.042482,,,,0.414912,DOWN
,,,,,0.003467,,,DOWN
,2.0,0.319149,,,0.003467,0.422915,0.414912,DOWN
0.0,2.0,,,,,,,DOWN
0.0,,0.361702,,0.493306,,,,DOWN
0.0,,0.382979,0.041041,,,0.422915,0.414912,DOWN
,,0.404255,,,0.003467,,,DOWN
,2.0,,0.044374,,0.003467,,,UP
0.0,2.0,0.446809,,,0.003467,,,UP
0.0,,,,,,0.422915,0.414912,UP
,,,0.045485,0.513835,,,,UP
0.0,,,,0.505356,,,,UP
,2.0,,,0.497917,0.003467,,,UP
,,0.553191,,,,0.422915,0.414912,DOWN
0.0,,0.574468,,0.491669,,,0.414912,UP
,,0.595745,0.044374,,,0.422915,,UP
0.0,2.0,,0.042482,,,,,DOWN
,2.0,,0.040861,,0.003467,0.422915,,DOWN
0.0,,0.659574,0.041161,,0.003467,,,DOWN
0.0,2.0,,,,0.003467,,,DOWN
,2.0,0.702128,,,,0.422915,0.414912,DOWN
,2.0,,0.042482,0.55296,0.003467,,0.414912,DOWN
0.0,,,,,0.003467,0.422915,,UP
0.0,,,0.041041,,,,0.414912,DOWN
,,,,0.546861,,0.422915,0.414912,DOWN
,2.0,,0.040711,0.497025,,0.422915,0.414912,DOWN
0.0,,,,,,,0.414912,DOWN
0.0,,0.851064,,,,,0.414912,DOWN
0.0,2.0,0.87234,0.042482,0.412229,0.003467,,0.414912,DOWN
0.0,2.0,,0.041161,,,,0.414912,DOWN
,,,0.051489,,,,0.414912,UP
,,,0.056443,,,,,UP
0.0,2.0,,,0.42889,,,0.414912,UP
,,0.978723,,0.445254,0.003467,,,UP
0.0,2.0,,,0.44094,,,0.414912,UP
,,,0.059235,0.442874,0.003467,0.422915,0.414912,UP
4.4e-05,,0.021277,,0.41089,,,,UP
4.4e-05,,0.042553,0.051489,,0.003467,0.422915,,UP
4.4e-05,,,,0.316721,,,,DOWN
4.4e-05,,,,0.257959,,,,DOWN
4.4e-05,3.0,0.106383,0.041161,,0.003467,,0.414912,DOWN
,3.0,0.12766,,0.178816,0.003467,,,DOWN
,,0.148936,0.040951,0.151889,,,0.414912,DOWN
,,,,0.1385,0.003467,,0.414912,DOWN
4.4e-05,3.0,,,,0.003467,,0.414912,DOWN
4.4e-05,,,,0.171675,0.003467,0.422915,0.414912,DOWN
,,0.234043,0.051489,0.214519,0.003467,0.422915,0.414912,UP
4.4e-05,,,,0.30244,0.003467,,0.414912,UP
,,,,0.393038,0.003467,0.422915,0.414912,UP
,,,0.040861,,0.003467,,,DOWN
4.4e-05,,,0.040861,,,,0.414912,DOWN
,,0.340426,0.040861,0.487504,0.003467,0.422915,0.414912,DOWN
,,0.361702,,,,,0.414912,DOWN
,3.0,0.382979,0.041041,,,0.422915,,DOWN
,3.0,,0.041041,,,,0.414912,DOWN
,3.0,,,0.519935,,,,DOWN
,3.0,0.446809,0.042362,0.502529,0.003467,,0.414912,DOWN
4.4e-05,3.0,0.468085,0.042482,0.491818,0.003467,,0.414912,DOWN
,3.0,,0.044374,,,,,DOWN
4.4e-05,,0.510638,0.044374,,,0.422915,,DOWN
4.4e-05,,,0.042482,,,0.422915,,DOWN
,,0.553191,0.042482,0.477388,0.003467,,0.414912,DOWN
4.4e-05,3.0,,0.042482,,0.003467,,,DOWN
4.4e-05,,,0.041041,,,,0.414912,DOWN
,3.0,,,,,,0.414912,DOWN
4.4e-05,3.0,0.638298,0.040861,0.442428,0.003467,0.422915,,DOWN
,3.0,,0.040861,,,,,DOWN
4.4e-05,3.0,,0.040861,,,,,DOWN
4.4e-05,,0.702128,,,,0.422915,0.414912,DOWN
,,0.723404,0.041041,,,0.422915,0.414912,DOWN
4.4e-05,,0.744681,,0.604136,,,,DOWN
4.4e-05,,,,,,0.422915,,DOWN
4.4e-05,,0.787234,,0.552812,,,,DOWN
,3.0,0.808511,0.040711,0.51086,0.003467,0.422915,,DOWN
4.4e-05,3.0,,,,0.003467,,,DOWN
4.4e-05,,,,,,,,DOWN
4.4e-05,3.0,,,,,,,DOWN
,3.0,,0.041041,,0.003467,,,DOWN
,,0.914894,0.041041,,,0.422915,,DOWN
,,0.93617,0.056443,0.409104,0.003467,0.422915,0.414912,UP
,,0.957447,0.055362,,,0.422915,,UP
,3.0,,0.059235,,,,,UP
,,1.0,,,,0.422915,0.414912,UP
,4.0,0.0,,,,,,UP
,4.0,,0.054642,0.429485,,0.422915,,UP
,,,,,,,0.414912,UP
8.8e-05,4.0,0.06383,,0.331449,,,,DOWN
,,,,,,0.422915,,DOWN
8.8e-05,,0.106383,,,,,0.414912,DOWN
8.8e-05,,0.12766,0.041041,,0.003467,,,DOWN
,,,,,,0.422915,,DOWN
8.8e-05,,,0.046956,0.151592,,0.422915,0.414912,UP
8.8e-05,,,0.046956,,0.003467,,,UP
8.8e-05,4.0,,,0.174353,0.003467,,,UP
,,,0.047106,,0.003467,,,UP
8.8e-05,4.0,,,,0.003467,,0.414912,UP
,4.0,,,0.403451,,0.422915,0.414912,UP
,4.0,,0.046956,,0.003467,,,UP
,4.0,,,0.465486,,,,DOWN
,4.0,0.340426,,0.490777,0.003467,0.422915,0.414912,DOWN
,4.0,0.361702,,0.493603,0.003467,,0.414912,DOWN
,4.0,0.382979,0.045515,,,0.422915,,UP
,,0.404255,,,,,,UP
8.8e-05,,,,,,0.422915,,UP
,,,,0.490925,0.003467,0.422915,0.414912,UP
8.8e-05,,,0.047106,,0.003467,,,UP
8.8e-05,,,,0.490479,0.003467,,,UP
8.8e-05,,0.510638,0.047106,0.482892,,0.422915,,UP
,,0.531915,,0.475751,0.003467,,0.414912,UP
,4.0,0.553191,,0.474412,0.003467,,0.414912,UP
,,0.574468,0.047106,,,,,UP
8.8e-05,4.0,0.595745,0.047106,,,,,UP
8.8e-05,4.0,,0.047106,0.446742,0.003467,0.422915,0.414912,UP
8.8e-05,,,,0.439601,,0.422915,,UP
8.8e-05,,,0.046956,0.442428,,,,UP
,,0.680851,0.042482,0.450461,,,,DOWN
,,0.702128,,0.468015,,,0.414912,DOWN
,,,0.046956,0.510562,0.003467,,,UP
,4.0,0.744681,,,,,,UP
,4.0,,0.046956,,,,,UP
8.8e-05,,0.787234,0.042482,0.558018,,,,DOWN
,4.0,,,,,,,DOWN
,4.0,,,,,0.422915,0.414912,DOWN
8.8e-05,,0.851064,,,0.003467,,,DOWN
,4.0,0.87234,,,,,,DOWN
8.8e-05,4.0,,,,,0.422915,,UP
,,,0.046956,0.371169,,,,UP
8.8e-05,,0.93617,,,,0.422915,,UP
,,,,,,,,UP
8.8e-05,,0.978723,,,,0.422915,,UP
,,,,0.462065,0.003467,,0.414912,UP
,,0.0,,,0.003467,,,UP
,,0.021277,,,,,0.414912,UP
0.000133,,,,0.395567,,0.422915,0.414912,UP
,,0.06383,,,,0.422915,0.414912,UP
0.000133,5.0,0.085106,0.075868,0.273282,,0.422915,,UP
0.000133,,,,,0.003467,,,UP
0.000133,,,0.073976,,0.003467,0.422915,0.414912,UP
0.000133,5.0,0.148936,0.073976,0.164237,0.003467,,,UP
,5.0,0.170213,0.076948,0.154418,0.003467,,,UP
,5.0,0.191489,,0.159625,,,0.414912,UP
,,0.212766,0.074367,,,0.422915,0.414912,UP
0.000133,,0.234043,,,0.003467,,,UP
,5.0,,,,,,0.414912,UP
0.000133,,,,0.401517,,,0.414912,UP
,5.0,0.297872,,,,,,UP
0.000133,5.0,,,,,0.422915,,UP
,,0.340426,,,0.003467,,0.414912,UP
0.000133,5.0,,0.089798,0.500595,,0.422915,0.414912,UP
,,0.382979,,,0.003467,0.422915,,UP
0.000133,,,0.089798,0.550878,,0.422915,0.414912,UP
,5.0,0.425532,0.089798,,,0.422915,,UP
,5.0,,,,0.003467,,,UP
,,,0.047676,,0.003467,0.422915,0.414912,DOWN
,,,,,,,,UP
,,,,,0.003467,0.422915,0.414912,UP
0.000133,5.0,,,,0.003467,0.422915,0.414912,UP
,5.0,,0.194548,,0.003467,,,UP
,,,,0.468164,0.003467,,,UP
,,,0.139636,,0.003467,,,UP
,,,,,,0.422915,0.414912,UP
,,,,,0.003467,,,UP
,5.0,0.659574,0.089798,0.438411,,0.422915,,UP
,5.0,,0.06626,,,0.422915,,DOWN
0.000133,5.0,0.702128,,0.458792,,0.422915,,UP
0.000133,,,0.089798,0.499554,0.003467,,,UP
,,0.744681,0.077039,0.54939,0.003467,,0.414912,DOWN
0.000133,5.0,0.765957,0.047586,,0.003467,0.422915,0.414912,DOWN
,,,0.076948,0.505504,,,,DOWN
0.000133,5.0,,,0.458346,,,,DOWN
0.000133,,0.829787,,0.429485,,,,DOWN
0.000133,5.0,,,0.399137,,0.422915,0.414912,DOWN
0.000133,5.0,0.87234,,,0.003467,,0.414912,DOWN
0.000133,,,,0.352127,,0.422915,0.414912,DOWN
,,,,0.309283,0.003467,,,DOWN
,5.0,,0.072835,0.381434,0.003467,,,DOWN
0.000133,,0.957447,,0.408956,0.003467,,0.414912,DOWN
,,,,,0.003467,,0.414912,UP
0.000133,,1.0,,,,0.422915,0.414912,UP
0.000177,,0.0,,,0.003467,0.422915,,DOWN
0.000177,6.0,0.021277,,,,,,DOWN
,,,,0.368343,0.003467,0.422915,,DOWN
0.000177,6.0,,0.072835,0.304522,,,0.414912,DOWN
,6.0,0.085106,0.071905,,,0.422915,0.414912,DOWN
0.000177,,0.106383,,,,,,DOWN
0.000177,,,,,,0.422915,,DOWN
0.000177,,,0.046806,,0.003467,,0.414912,DOWN
,6.0,,0.046956,,0.003467,0.422915,,DOWN
0.000177,,0.191489,,,0.003467,,0.414912,DOWN
,6.0,,0.046956,0.105326,,0.422915,0.414912,DOWN
0.000177,,,0.062417,0.120649,0.003467,0.422915,,DOWN
0.000177,,,,,0.003467,,,DOWN
,,,0.072145,,0.003467,0.422915,,DOWN
,,,,0.214073,0.003467,0.422915,0.414912,DOWN
0.000177,,,,,,0.422915,,DOWN
0.000177,6.0,0.340426,,,,,0.414912,DOWN
,,0.361702,,,0.003467,0.422915,0.414912,DOWN
,6.0,0.382979,0.080581,,,0.422915,,DOWN
,,0.404255,,,,,0.414912,DOWN
,6.0,0.425532,,0.416989,0.003467,0.422915,,DOWN
0.000177,,0.446809,0.047256,0.403154,,,,DOWN
0.000177,,0.468085,0.072145,,0.003467,0.422915,0.414912,DOWN
,,,0.047256,,,0.422915,,DOWN
,,,,,0.003467,,,DOWN
,6.0,,,0.337102,,,,DOWN
,6.0,,,,0.003467,0.422915,0.414912,DOWN
,6.0,,,,,0.422915,0.414912,DOWN
,,0.595745,0.047256,,,,,DOWN
,6.0,,0.047256,0.287266,0.003467,,,DOWN
,,0.638298,0.072145,0.284588,0.003467,,0.414912,UP
0.000177,6.0,0.659574,,,,,0.414912,UP
,,,0.080581,,,,,UP
,6.0,,,,,0.422915,0.414912,UP
0.000177,6.0,0.723404,0.072745,,,0.422915,0.414912,UP
0.000177,6.0,,,0.44942,,,,UP
,,,,0.458048,,0.422915,,UP
,6.0,,,0.428444,,0.422915,,UP
,,,,,0.003467,,,DOWN
,,,,,,,,DOWN
,6.0,,,,0.003467,,,DOWN
,,,,,,,,DOWN
0.000177,,,,,0.003467,,,DOWN
,,,0.047106,,,0.422915,0.414912,DOWN
,,0.93617,0.072145,,,,0.414912,UP
0.000177,,,,0.31687,,0.422915,0.414912,DOWN
0.000177,6.0,0.978723,0.047256,,,,0.414912,DOWN
0.000177,,,0.047256,,,0.422915,0.414912,DOWN
0.000221,,,,,,,,DOWN
0.000221,,,0.047106,0.259,,,,DOWN
,,0.042553,0.047106,,0.003467,0.422915,0.414912,DOWN
,7.0,,,,,,,DOWN
,7.0,0.085106,0.046956,0.140732,,0.422915,0.414912,DOWN
,7.0,,,,,,,UP
,7.0,,,,0.003467,,0.414912,UP
0.000221,7.0,,,,,,,UP
0.000221,7.0,0.170213,,,0.003467,,0.414912,UP
,,,0.062417,,,,0.414912,UP
0.000221,7.0,,0.063889,,0.003467,,,UP
0.000221,7.0,,,,,0.422915,0.414912,UP
,,,,,,0.422915,0.414912,UP
0.000221,7.0,,,,,0.422915,0.414912,DOWN
0.000221,7.0,0.297872,,,0.003467,0.422915,0.414912,DOWN
,,,,,,,,DOWN
0.000221,,,,0.230884,,,0.414912,DOWN
0.000221,,0.361702,,,,0.422915,,DOWN
0.000221,7.0,,0.047376,,0.003467,0.422915,,DOWN
0.000221,,,,0.351235,0.003467,,,DOWN
0.000221,,0.425532,0.047256,,,0.422915,,DOWN
,,,0.047256,,,0.422915,0.414912,DOWN
0.000221,,,,0.337251,,0.422915,0.414912,UP
,7.0,,0.054131,0.323416,0.003467,,,DOWN
0.000221,,0.510638,0.071694,0.308242,0.003467,0.422915,0.414912,UP
,,,0.069383,,,0.422915,,UP
0.000221,,,0.047256,0.263612,,,0.414912,DOWN
,,,,,0.003467,,0.414912,DOWN
,,,,,,,,DOWN
0.000221,,,,0.231479,0.003467,0.422915,,DOWN
0.000221,7.0,,0.047256,0.23252,0.003467,0.422915,0.414912,DOWN
,,0.659574,0.047106,,0.003467,,0.414912,DOWN
0.000221,7.0,,,,,,,DOWN
0.000221,7.0,,,0.263761,,,0.414912,DOWN
0.000221,7.0,0.723404,0.047286,0.311068,,0.422915,,DOWN
,7.0,,,,,0.422915,0.414912,DOWN
,,,,0.403898,,,,UP
,,,0.047376,,0.003467,,,DOWN
0.000221,,0.808511,0.047256,,0.003467,,,DOWN
0.000221,,,,,0.003467,,,DOWN
,,,0.047256,0.328771,,,,DOWN
,7.0,0.87234,0.047106,,0.003467,0.422915,,DOWN
0.000221,,,,,0.003467,,0.414912,DOWN
,,0.914894,0.047106,,,,0.414912,DOWN
,7.0,,0.047106,0.287414,,,,DOWN
,,,,0.298869,0.003467,0.422915,,DOWN
0.000221,,,0.047256,,0.003467,,0.414912,DOWN
,,,0.047106,0.293663,0.003467,0.422915,,DOWN
0.000265,1.0,,0.047106,,,,,DOWN
,,,,,,0.422915,,DOWN
0.000265,,0.042553,,,,,,DOWN
,,,,0.185808,,0.422915,0.414912,DOWN
0.000265,1.0,0.085106,,,,,0.414912,DOWN
0.000265,,0.106383,,0.127789,,,0.414912,DOWN
,1.0,,,0.112169,,,,DOWN
,,0.148936,0.046806,0.101309,,0.422915,,DOWN
,,0.170213,,0.10235,0.003467,,,DOWN
0.000265,1.0,0.191489,,0.110533,,,,DOWN
,,0.212766,,,,,0.414912,DOWN
0.000265,,,,0.187742,,,0.414912,DOWN
0.000265,1.0,0.255319,,,0.003467,,,DOWN
,,,0.047106,0.367599,,0.422915,,DOWN
,,,0.10475,,,,,UP
,1.0,0.319149,,0.435882,0.003467,,,UP
,1.0,0.340426,0.155878,0.465338,,,,UP
,1.0,0.361702,0.153206,0.469652,,,,UP
,,0.382979,,,,,,UP
0.000265,1.0,,0.10475,0.529753,,0.422915,,UP
,,,,,0.003467,0.422915,,UP
0.000265,,,0.074817,0.498959,0.003467,,,UP
0.000265,,0.468085,0.10475,,,,,UP
0.000265,,,,,0.003467,0.422915,,UP
0.000265,1.0,0.510638,,,,,,UP
,1.0,,0.10475,,0.003467,,0.414912,UP
,,,,0.478578,0.003467,,0.414912,UP
0.000265,1.0,,,,,0.422915,,UP
0.000265,,,,0.473222,,,0.414912,UP
,,,,,0.003467,0.422915,,UP
,,,0.13105,0.457007,0.003467,0.422915,0.414912,UP
,1.0,,0.13105,0.472925,,0.422915,0.414912,UP
,,,,,,0.422915,,UP
0.000265,,,0.179596,,,,,UP
,1.0,0.723404,,0.591639,,0.422915,0.414912,UP
,1.0,,,,,0.422915,,UP
,,,,0.629575,0.003467,,,UP
0.000265,,,0.179596,,,,,UP
,,,0.179596,0.558316,,,,UP
0.000265,1.0,,,0.526034,,,,UP
,1.0,0.851064,0.155878,,0.003467,,,UP
,1.0,0.87234,,,,0.422915,,UP
0.000265,1.0,,0.109283,,,0.422915,,UP
0.000265,,,,,,,,UP
0.000265,1.0,0.93617,,0.425022,,,,DOWN
,,,,0.448825,0.003467,0.422915,,DOWN
,,,,0.468462,,0.422915,,UP
,,,,0.46385,,,,DOWN
,,0.0,,,,,,DOWN
0.00031,2.0,,,,,,0.414912,DOWN
0.00031,,,,,,0.422915,,DOWN
0.00031,,,,0.341416,0.003467,0.422915,0.414912,DOWN
0.00031,,,,0.279232,0.003467,,,DOWN
0.00031,,0.106383,,,,0.422915,0.414912,DOWN
,,,,,0.003467,0.422915,,DOWN
,,,,0.167361,0.003467,,,DOWN
0.00031,2.0,0.170213,0.077999,,,,,DOWN
,2.0,,0.077999,,,0.422915,,DOWN
,,,0.077999,0.186105,,0.422915,,DOWN
0.00031,,0.234043,0.083794,,0.003467,,,DOWN
0.00031,2.0,,0.085415,0.323862,,,,DOWN
0.00031,,,0.162093,0.436626,,,0.414912,UP
,2.0,,0.162093,,0.003467,0.422915,0.414912,UP
0.00031,2.0,,,0.505802,,0.422915,0.414912,UP
,,0.340426,,,,0.422915,,UP
,2.0,0.361702,,0.523654,,,0.414912,UP
0.00031,,,,,,,0.414912,UP
,,0.404255,,,0.003467,0.422915,0.414912,UP
0.00031,,,,0.553704,0.003467,,0.414912,UP
,,,,0.533621,0.003467,,0.414912,DOWN
,2.0,,0.162093,,0.003467,0.422915,,UP
,,,,,0.003467,,,UP
,2.0,,0.13105,,,,0.414912,UP
,,0.531915,,,,,,UP
0.00031,,,,,0.003467,,,UP
,,,,0.491372,,,0.414912,UP
0.00031,,,,,0.003467,,0.414912,UP
,,0.617021,,0.47471,,0.422915,,UP
,2.0,0.638298,0.13105,0.468015,,,,UP
,2.0,0.659574,0.13105,,,,,UP
,,,,,,0.422915,,UP
0.00031,,,0.179596,,0.003467,0.422915,,UP
0.00031,,0.723404,,0.612169,,,0.414912,UP
0.00031,2.0,,,,0.003467,0.422915,,UP
0.00031,,,,0.665873,,0.422915,,UP
,,0.787234,,,,0.422915,,UP
0.00031,2.0,0.808511,0.179596,,0.003467,,,UP
,2.0,,,0.562035,0.003467,,,UP
,,,,,0.003467,0.422915,,UP
0.00031,,0.87234,,0.508033,,0.422915,,DOWN
,2.0,,,,,,0.414912,DOWN
,,,,,0.003467,,,DOWN
,2.0,0.93617,0.13105,,,0.422915,,UP
,,,,,0.003467,,,DOWN
0.00031,,0.978723,,0.488396,,,0.414912,DOWN
,,1.0,,,0.003467,,0.414912,DOWN
,3.0,,,0.486314,0.003467,0.422915,0.414912,DOWN
0.000354,,,,0.459387,0.003467,0.422915,,DOWN
0.000354,3.0,,0.085415,,,,0.414912,DOWN
0.000354,,,,0.363582,,,,DOWN
0.000354,,,,,0.003467,,,DOWN
,,,,,0.003467,,,DOWN
0.000354,3.0,0.12766,,,,0.422915,,DOWN
,3.0,,0.077999,,0.003467,,,DOWN
0.000354,3.0,,0.062417,,,0.422915,0.414912,DOWN
0.000354,,,0.062417,0.173312,,,,DOWN
,,,0.077999,0.202321,0.003467,,,DOWN
,3.0,0.234043,,,0.003467,,0.414912,DOWN
0.000354,,,0.121713,0.345284,,0.422915,,DOWN
0.000354,,,,,,,0.414912,UP
0.000354,3.0,,0.162093,,,,,UP
,,,,0.525588,,,,UP
,,,,,,,,UP
,,,0.162093,0.533323,0.003467,,,UP
,,0.382979,0.140267,,,,,UP
,,,0.119731,,0.003467,,,DOWN
,,0.425532,,,0.003467,0.422915,0.414912,DOWN
0.000354,,,,,0.003467,0.422915,,DOWN
,,,0.089798,,,,0.414912,DOWN
,,,,0.503422,,,0.414912,DOWN
0.000354,3.0,0.510638,,,,,,DOWN
,3.0,0.531915,,0.481702,,,,DOWN
,,,0.089798,0.472925,,,,DOWN
,,0.574468,0.089798,0.468908,,0.422915,,DOWN
0.000354,,,,,0.003467,0.422915,,DOWN
,,,0.089798,0.441238,,,0.414912,DOWN
0.000354,3.0,,0.089798,,,,,DOWN
0.000354,3.0,,,0.450164,0.003467,0.422915,,DOWN
0.000354,,,,0.463106,,0.422915,,DOWN
,3.0,,,,0.003467,,,UP
0.000354,,,,,0.003467,,,UP
,3.0,,,,,0.422915,,UP
,,0.765957,0.203525,0.632699,0.003467,0.422915,,UP
,3.0,,0.193287,0.604582,,,,UP
,3.0,0.808511,,,,0.422915,,UP
,,0.829787,0.140267,0.540315,,,,UP
0.000354,,0.851064,0.119731,0.519786,0.003467,,,UP
0.000354,,0.87234,0.119731,0.488694,,,0.414912,UP
0.000354,3.0,,,0.44823,,,,UP
,,,,,,,,UP
,,,,0.448825,,,,UP
,,,,,,,,UP
0.000354,,0.978723,0.134622,0.487652,,,,UP
0.000354,3.0,1.0,,,0.003467,,0.414912,UP
,,,,0.49033,,,,UP
,4.0,,,0.463999,,,,UP
,4.0,,,,0.003467,0.422915,,DOWN
,4.0,,0.090759,0.366855,,0.422915,0.414912,DOWN
,4.0,,0.077999,,0.003467,0.422915,,DOWN
,,0.106383,,0.261232,,,,DOWN
0.000398,,0.12766,0.062417,,0.003467,0.422915,0.414912,DOWN
0.000398,,,,0.186254,,,0.414912,DOWN
,4.0,,,0.170336,0.003467,,,DOWN
0.000398,4.0,,0.074877,,,0.422915,,DOWN
,,0.212766,0.081122,0.199494,,,0.414912,DOWN
0.000398,,,0.081122,0.241595,0.003467,,0.414912,DOWN
,,,,,0.003467,,0.414912,DOWN
0.000398,,,,0.44332,,,,UP
0.000398,4.0,0.297872,,0.45537,0.003467,0.422915,0.414912,UP
,,0.319149,,,,,,UP
,,,,0.543737,0.003467,0.422915,,UP
,,,,0.536894,,0.422915,,UP
0.000398,4.0,0.382979,,,,,0.414912,DOWN
,,0.404255,,,0.003467,0.422915,0.414912,DOWN
0.000398,4.0,,,,0.003467,,0.414912,DOWN
,4.0,,,0.552812,,0.422915,0.414912,DOWN
,,,,,,,,DOWN
0.000398,,0.489362,,,,,,DOWN
0.000398,,,0.074817,,,0.422915,,DOWN
0.000398,,,,,,,,DOWN
0.000398,,0.553191,,,0.003467,,,DOWN
0.000398,4.0,,0.107752,,0.003467,,,DOWN
0.000398,,,,,,,0.414912,DOWN
0.000398,,,0.074817,0.488545,,,0.414912,DOWN
0.000398,4.0,,0.107752,,0.003467,,,DOWN
0.000398,,,,0.496578,,,0.414912,DOWN
0.000398,4.0,0.680851,,0.517852,,,0.414912,DOWN
,,0.702128,0.121713,,,,0.414912,UP
0.000398,4.0,,0.149664,,0.003467,,0.414912,UP
,4.0,,,0.678667,,,,UP
,,,0.149664,0.670485,,,,UP
0.000398,4.0,,,,,,,UP
0.000398,,0.808511,0.149664,0.608599,,,,UP
0.000398,,0.829787,,0.578697,,,0.414912,UP
,,0.851064,,0.560399,,,,UP
0.000398,,,,,,,,DOWN
,,,0.107752,0.475602,0.003467,,,DOWN
,,,,,,0.422915,,DOWN
,,,0.121713,,,,0.414912,UP
0.000398,4.0,0.957447,0.13093,,,0.422915,,UP
,4.0,0.978723,0.13093,,,,,UP
,,,0.13093,0.489586,,,,UP
0.000442,5.0,0.0,,0.485421,,,,UP
0.000442,,0.021277,,0.461619,0.003467,0.422915,,UP
0.000442,5.0,,,0.433948,,0.422915,0.414912,UP
,,,,,,,,DOWN
,5.0,,0.081122,0.308688,,,,DOWN
0.000442,,0.106383,,0.262571,,,,DOWN
0.000442,,0.12766,,0.217197,,,0.414912,DOWN
,,,0.081122,0.190866,,,,DOWN
,5.0,,,,,0.422915,0.414912,DOWN
,,0.191489,,,0.003467,0.422915,,DOWN
,5.0,,,,,0.422915,0.414912,DOWN
0.000442,,0.234043,,0.246504,,,,UP
,,0.255319,,,,0.422915,,UP
,5.0,,,,0.003467,0.422915,0.414912,UP
0.000442,5.0,0.297872,,0.459833,0.003467,0.422915,,DOWN
,,0.319149,0.07926,,,0.422915,,DOWN
0.000442,5.0,,0.13105,,0.003467,,,UP
0.000442,5.0,,0.13096,0.543886,0.003467,0.422915,0.414912,UP
0.000442,,,0.178095,,0.003467,0.422915,0.414912,UP
0.000442,,,,,,,,UP
0.000442,,,0.168338,,0.003467,,,UP
,5.0,0.446809,,,0.003467,,,UP
,5.0,0.468085,,0.530943,0.003467,0.422915,,UP
,,,0.149634,,,,0.414912,UP
0.000442,,0.510638,,,0.003467,0.422915,,UP
0.000442,5.0,0.531915,,0.510562,,0.422915,,UP
,,,,,0.003467,0.422915,,UP
0.000442,,,0.13105,,0.003467,,0.414912,UP
,5.0,,,,,0.422915,,DOWN
,,,0.13105,0.457751,,,,UP
,5.0,0.638298,0.13105,,,0.422915,0.414912,UP
0.000442,,0.659574,,0.459982,,,0.414912,UP
,,,0.168338,,0.003467,,,UP
,5.0,0.702128,,0.511009,0.003467,,,UP
,,,0.134622,0.567242,,0.422915,,UP
0.000442,5.0,,,,,,0.414912,DOWN
0.000442,5.0,,0.149634,,0.003467,,,UP
,,0.787234,0.13093,,,,,UP
0.000442,5.0,,0.121713,,,,,DOWN
0.000442,5.0,,,0.504017,,0.422915,0.414912,DOWN
,5.0,,,,,0.422915,0.414912,DOWN
,5.0,0.87234,0.076498,0.464743,,0.422915,,DOWN
,,0.893617,0.044134,,,,,DOWN
0.000442,,,0.076498,,,,0.414912,DOWN
,,,0.129248,0.43618,,,,UP
,,0.957447,0.090759,,0.003467,0.422915,,DOWN
,,,0.13093,0.489735,,,,UP
,5.0,,0.121713,,,0.422915,0.414912,UP
0.000487,,0.0,,0.478727,0.003467,,0.414912,DOWN
,,,0.044224,,0.003467,0.422915,,DOWN
,6.0,,0.044073,,,0.422915,,DOWN
,6.0,,,,0.003467,0.422915,,DOWN
0.000487,6.0,0.085106,,0.280571,0.003467,,,DOWN
0.000487,6.0,,,,0.003467,,,DOWN
,6.0,,,0.185808,,,,DOWN
0.000487,,0.148936,,,0.003467,0.422915,0.414912,DOWN
,,0.170213,,,,0.422915,0.414912,DOWN
0.000487,,,,,,,,DOWN
,6.0,0.212766,,,0.003467,0.422915,0.414912,DOWN
,6.0,,,,0.003467,,0.414912,DOWN
,,0.255319,,0.171526,0.003467,0.422915,0.414912,DOWN
,,,,0.209461,,,0.414912,DOWN
0.000487,,,,0.254389,0.003467,,,DOWN
,6.0,,0.084364,,,0.422915,0.414912,DOWN
,6.0,,,0.394674,0.003467,0.422915,,DOWN
,6.0,,,0.431866,,0.422915,,DOWN
,,,,,0.003467,,,UP
,,,,,,,0.414912,UP
0.000487,6.0,0.425532,,0.453288,0.003467,,0.414912,UP
0.000487,,,,,,0.422915,,UP
,6.0,0.468085,0.084544,,,0.422915,,DOWN
