x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
,,,,2.0,,,2.0,,,,,1.0,,,,Z
,,,,,5.0,9.0,,,,7.0,,2.0,9.0,,,P
,,8.0,,,,,5.0,,11.0,,,2.0,,,,S
4.0,,,,,7.0,,,,,,,,8.0,,,H
,,,,,7.0,,,,,,,3.0,,,,H
,,5.0,,,,12.0,,,13.0,,,,10.0,,,F
,,,,,,8.0,,5.0,,,8.0,,,,,N
1.0,,2.0,0.0,,,,7.0,,7.0,,,,7.0,,,R
5.0,,7.0,,,,,,,,,,,6.0,,,M
,,,1.0,,,,,6.0,7.0,,,,,,,D
,7.0,,,,9.0,8.0,,,,13.0,,,10.0,,,V
,11.0,,,,,4.0,,,,,,,,,,A
,,,,,,,,4.0,,,7.0,,6.0,,,K
,8.0,,,,,,4.0,,9.0,,,,8.0,,,D
8.0,,9.0,,,,8.0,,,10.0,,,,,,,S
,,,8.0,,,,,,,4.0,,,6.0,,,H
,,,,,,,,12.0,,,,,,,6.0,E
2.0,,,3.0,,,,,,11.0,,7.0,,,,,Z
,,,5.0,4.0,,9.0,,4.0,,,,,,,,O
,,4.0,,5.0,,,,,7.0,,,,,5.0,,Q
,,7.0,,,,,,,6.0,,,,8.0,,,Q
,,3.0,,,,,,,,,,,,,,L
,,,,,,,,,,13.0,8.0,,,,,V
,1.0,,,1.0,,,,8.0,,,,,,,,X
,,,8.0,,7.0,,5.0,,,,,,,,,V
5.0,,8.0,,,,,,,,,,,,,,M
,6.0,,,3.0,,9.0,,,,10.0,,,,,,Y
2.0,,4.0,4.0,,,,,,,,6.0,,,3.0,,D
3.0,,,,,,,,,,7.0,,,,,,E
,,,,4.0,,,,,,,,,,,,N
4.0,,,,2.0,,,,2.0,,,,3.0,,,,A
,,,3.0,,,,,,7.0,,,,,,,D
,,5.0,6.0,,,,,4.0,,,,3.0,,,7.0,Z
,,,,,5.0,9.0,,,,,8.0,5.0,8.0,,,N
,,5.0,,,,7.0,,,,,8.0,3.0,8.0,,,X
,,,,,,,,,,,,6.0,11.0,4.0,,F
,,,,,,,,,,,,,10.0,,,N
3.0,,,,,,,,,,,,,8.0,,,L
,5.0,,4.0,,,,,,,,,,,,,N
,,,,,,,,,,,,1.0,,5.0,,Z
6.0,,,,,,,,,,9.0,5.0,,,,,Y
0.0,,,1.0,,,,,,,,,,,,,I
,,,,,,,2.0,3.0,,,7.0,9.0,,,,W
,,,,,,9.0,,,,,,,9.0,,,U
,,4.0,5.0,,,7.0,,5.0,,,,5.0,,,,O
,4.0,,,2.0,,,,,,,4.0,,,,,T
