word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_%3B,char_freq_%28,char_freq_%5B,char_freq_%21,char_freq_%24,char_freq_%23,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
0.0,,0.64,,,0.0,,,0.0,,0.0,0.64,,,,,,,1.93,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,0.778,0.0,,,,278.0,1
0.21,0.28,0.5,,0.14,0.28,,,,,,0.79,0.65,0.21,,,,0.28,,0.0,,,0.43,0.43,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.18,,,101.0,,1
0.06,,,,1.23,0.19,,,,,0.38,,,0.0,,,,,,0.32,0.51,,1.16,,0.0,0.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,0.06,0.0,,0.01,,,,,,,485.0,2259.0,1
,0.0,0.0,0.0,,,0.31,,,0.63,,,0.31,,,,0.0,,3.18,0.0,,0.0,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,0.137,,,0.0,0.0,,,,1
,,,,,0.0,0.31,0.63,0.31,,0.31,0.31,,,,0.31,,0.0,3.18,,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,40.0,191.0,1
,0.0,,0.0,1.85,,,1.85,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,0.223,,,,,,15.0,,1
0.0,,,,,,,0.0,0.0,0.64,0.96,1.28,0.0,0.0,,0.96,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,0.0,,0.054,,0.164,,,1.671,,112.0,1
,,0.0,0.0,,,,1.88,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,1
0.15,0.0,,0.0,,,0.3,0.0,,,,0.92,0.0,,,,,0.15,,,2.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,0.203,,,,,1
,,,0.0,0.19,,,,,,0.0,0.64,0.25,,,,,,,0.06,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,0.04,,,0.244,,,1.729,43.0,,1
