checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
,6.0,critical/other existing credit,,1169.0,no known savings,,4.0,,,4.0,real estate,,none,own,,skilled,1.0,yes,yes,good
,48.0,existing paid,,5951.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,,,none,,,skilled,1.0,none,,bad
no checking,12.0,,education,2096.0,,,2.0,,,3.0,real estate,,none,,,unskilled resident,2.0,,yes,good
<0,,,,7882.0,<100,,2.0,male single,guarantor,4.0,life insurance,,,for free,1.0,skilled,,,,good
<0,,delayed previously,,4870.0,,,3.0,male single,,4.0,,,,,2.0,,2.0,none,,bad
no checking,36.0,,education,9055.0,no known savings,1<=X<4,,,,,no known property,,,,,,,,yes,good
,,,furniture/equipment,2835.0,,>=7,,,none,4.0,life insurance,53.0,none,own,,,1.0,none,yes,good
,36.0,existing paid,,,<100,1<=X<4,2.0,,,,,35.0,none,,,high qualif/self emp/mgmt,1.0,yes,yes,good
,12.0,existing paid,radio/tv,3059.0,,,,,,4.0,,61.0,none,own,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,30.0,critical/other existing credit,new car,,,,4.0,,none,,car,28.0,none,own,2.0,,1.0,,yes,bad
0<=X<200,12.0,existing paid,new car,1295.0,<100,<1,,female div/dep/mar,none,,car,25.0,none,rent,1.0,skilled,1.0,,yes,bad
,48.0,existing paid,,4308.0,,<1,3.0,female div/dep/mar,,,life insurance,,none,rent,1.0,skilled,1.0,none,yes,bad
0<=X<200,,,radio/tv,,,1<=X<4,,female div/dep/mar,none,1.0,car,22.0,,,1.0,,1.0,yes,yes,good
<0,24.0,,,1199.0,,>=7,4.0,,none,,car,60.0,none,own,,,1.0,none,yes,bad
,15.0,existing paid,new car,1403.0,<100,1<=X<4,2.0,,,,car,28.0,none,rent,,skilled,,,yes,good
<0,24.0,existing paid,,,,1<=X<4,4.0,female div/dep/mar,,,,32.0,none,,,,1.0,,,bad
no checking,24.0,critical/other existing credit,,2424.0,no known savings,>=7,4.0,male single,none,4.0,life insurance,,none,,2.0,skilled,1.0,,yes,good
<0,30.0,no credits/all paid,,8072.0,no known savings,<1,2.0,male single,none,3.0,car,,bank,own,3.0,skilled,,none,,good
0<=X<200,24.0,existing paid,,,<100,>=7,,,,,no known property,44.0,,,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,,existing paid,radio/tv,3430.0,500<=X<1000,>=7,3.0,,none,2.0,car,,none,own,,skilled,,,,good
no checking,9.0,,new car,2134.0,,,,,none,,,,none,,3.0,skilled,1.0,,yes,good
<0,6.0,,radio/tv,,500<=X<1000,,2.0,male single,none,3.0,real estate,44.0,none,rent,1.0,skilled,,,yes,good
<0,,critical/other existing credit,,2241.0,,<1,1.0,male single,,3.0,real estate,48.0,none,rent,,,2.0,none,no,good
0<=X<200,12.0,critical/other existing credit,used car,1804.0,100<=X<500,,3.0,male single,,4.0,life insurance,44.0,,own,,skilled,1.0,none,yes,good
,10.0,critical/other existing credit,furniture/equipment,2069.0,no known savings,1<=X<4,,male mar/wid,none,1.0,,,,,,,1.0,none,no,good
<0,,existing paid,furniture/equipment,,<100,,1.0,male single,none,2.0,,36.0,bank,own,1.0,,1.0,yes,,good
,6.0,,radio/tv,426.0,,,4.0,,none,4.0,car,,none,own,,unskilled resident,1.0,none,yes,good
,12.0,all paid,,,>=1000,1<=X<4,3.0,female div/dep/mar,none,3.0,real estate,42.0,,rent,2.0,skilled,1.0,,,good
,,,radio/tv,,,,3.0,,guarantor,2.0,real estate,,none,,1.0,,1.0,none,,good
<0,,delayed previously,,6836.0,<100,>=7,,male single,,4.0,no known property,63.0,none,own,2.0,,,,yes,bad
0<=X<200,18.0,existing paid,business,,,<1,3.0,male mar/wid,,3.0,,36.0,bank,,1.0,,1.0,yes,yes,good
<0,,,,,,1<=X<4,,male single,none,2.0,car,27.0,,own,,skilled,1.0,none,yes,good
0<=X<200,,existing paid,,5866.0,100<=X<500,1<=X<4,,male single,,2.0,,30.0,none,own,,,1.0,yes,yes,good
no checking,,critical/other existing credit,,1264.0,,,4.0,male single,none,4.0,no known property,57.0,,,,,1.0,none,yes,good
>=200,,existing paid,furniture/equipment,1474.0,,<1,4.0,female div/dep/mar,,1.0,,33.0,,,,high qualif/self emp/mgmt,,yes,yes,good
0<=X<200,,critical/other existing credit,radio/tv,,<100,<1,,,,2.0,,,,own,,unskilled resident,,,,bad
no checking,,,education,,<100,1<=X<4,1.0,male single,none,,no known property,,,for free,1.0,skilled,,,yes,good
>=200,18.0,,,2100.0,<100,,4.0,male single,,2.0,real estate,,stores,,,skilled,1.0,,yes,bad
>=200,10.0,existing paid,domestic appliance,1225.0,<100,,2.0,,,2.0,car,37.0,none,,,skilled,,yes,,good
0<=X<200,,existing paid,radio/tv,458.0,<100,1<=X<4,,,,3.0,,,none,,,,1.0,none,yes,good
no checking,30.0,existing paid,radio/tv,,,>=7,4.0,,,2.0,car,,bank,own,1.0,,1.0,,,good
0<=X<200,12.0,existing paid,,,,1<=X<4,,male div/sep,,,,26.0,none,own,,,1.0,yes,yes,good
