loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
,,,,1.3,,,,,,,,,,,,,,,,,no
,,,,,,,,1.0,,,,,,,1.0,,,,,,yes
,,,51.0,,,,,81.24,,,,,,,,,,,,106.0,yes
230.0,,10.0,16.0,575.0,,,39.82,,,,,,,,5.0,,,,,,yes
,,,,500.0,,,,,,,,,,,,18.0,58.0,,,,yes
,,,,,2714.77,0.03,32.25,,,,,,,20.0,,19.0,,,,,yes
,,6.0,,,2629.78,0.03,,,83311.56,0.88,,,,,,,,,,,yes
3.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,,no
14.0,2.0,,,,,0.17,,15.21,509.14,0.03,,,,,,,,,,,no
,,,,,,,,,,,,,,,,8.0,,,7.0,,no
,,,1.0,10.0,,,,,,,,3.0,,,,,,,,,no
,,,,,,,1.5,7.74,,0.0,0.97,,,,,,2.0,3.0,,,no
,2.0,,,11.0,,,3.75,,,,,,,,,6.0,,,,3.0,no
,,,,,,,,,,,,2.0,,,,3.0,4.0,,,,no
,,1.0,,,,,,,,,,0.0,,,,,2.0,,,,no
,,,1.0,,,,,,,,,,,,,1.0,,,,,no
,,1.0,2.0,,,,,,,,,,,,,,,,,,no
,,,,,,0.4,,,,,,,,,,,,,,,no
,,,,21.0,87.57,,4.0,21.89,,,19.46,,,,,8.0,,,,3.0,no
9.0,,,,,87.57,0.25,,,,,19.46,8.0,,,0.0,,,11.0,,,no
,,1.0,,,,,,20.08,,,,,,0.0,0.0,,,,8.0,,no
,,,1.0,,,,,,,,,,,,,5.0,,,,,no
,,,,,108.05,,,,,,,,,,,,,,14.0,,no
,,,,,,,,18.4,,,,11.0,,,,,,,,,no
,,,5.0,,,,18.2,,15102.51,,,,,,,,,92.0,,,no
,,,,,0.0,,,,,,,,,,,,,,,,no
,,,,,1135.35,,,,,0.38,,,,,,,,,,,no
,,,1.0,,53.89,0.5,2.0,,107.78,,,,,,0.0,,8.0,,8.0,,no
,,,,,,0.67,,,,,,,,,0.0,3.0,,9.0,,1.0,no
,,,,,,,,,,,,,,,,,,,,,no
,1.0,,,5.0,,,,,17.41,,0.97,,,,0.0,,,3.0,2.0,,no
,9.0,,,,,,,,,,,,,1.0,,13.0,,,,,no
,,,,,,0.15,,21.28,,,,,,,,,,,,,no
,,1.0,3.0,,,,14.61,,,,,,,,,,,,,,no
,,,,,,,,,,,401.55,,,,2.0,,,61.0,,,no
7.0,,,,,,,4.5,,,0.01,,,0.0,0.0,0.0,,,,,,no
,,,,,,,15.03,,,0.39,,,,,,,,,,,no
13.0,,,,,66.61,0.18,,,,,,,,1.0,,,,,,,no
,,,,,120.93,,6.0,20.15,,,,,,1.0,,,9.0,,,,no
,,,,,,,,,,,,28.0,,,,,24.0,,,,no
4.0,,,1.0,,,,,,,,,,0.0,,,,,3.0,,,no
,1.0,,,,8.0,,1.5,,12.0,,,2.0,,,,,,,,1.0,no
,,1.0,,,,,,,12.0,,,,,0.0,,,,,,,no
,,,,4.0,,,,,,,,2.0,,,0.0,,,,,,no
,,,,,,0.67,,,,0.0,,,,,,,,,,,no
,,,,,,,,,12.0,,,,0.0,,0.0,,,,,,no
,,,1.0,,,,,,,,,,,,,,,,,,no
,,,,8.0,,0.5,,,,,,,,,,4.0,,5.0,3.0,1.0,no
64.0,,,,185.0,,,,,,,,,,,,,,116.0,69.0,,no
,,,,,,,2.5,,91.35,,,,,,,5.0,,,5.0,3.0,no
,,,,,,,,,,,30.41,6.0,,,,,4.0,18.0,,,no
,,,2.0,,,0.15,6.77,,1241.47,0.06,,,,,,,,,16.0,,no
20.0,,1.0,3.0,,,0.15,,30.1,,,,,,,,,,29.0,16.0,,no
13.0,,,,,,,,,,,,,,,,,,7.0,,,no
15.0,,,1.0,,135.93,0.13,7.56,17.97,,,,,,,0.0,11.0,,21.0,,,no
,,,,,,,,16.65,,,,6.0,,,,,7.0,,,1.0,no
,,1.0,3.0,,249.12,,,,2242.11,0.08,,,,,0.0,13.0,,,,,no
,,,,,,,,,,,,,,0.0,,,,,,,no
,2.0,,,38.0,,0.13,7.8,21.73,,,73.43,,0.0,,,12.0,,,13.0,,no
,,,,,,0.29,3.5,,,,,,,,0.0,,,,,,no
,,1.0,,9.0,25.27,,,,,,,,,,,,,,1.0,,no
6.0,,,,,55.51,,,,166.52,0.02,,,,,,,,8.0,,,no
,1.0,,1.0,,,,,,0.0,,,,,,,1.0,,1.0,,,no
,3.0,,,,,,,,,0.1,,,,,,,,41.0,,,no
