bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg,class
,,,,,,,,,,f,,l,,,,,,f,f,f,f,f,,f,,,,f,,,,,,,,won
,,,,,,,f,,,,f,,,,,,,,,,,,,,,,f,f,,,,,,,,won
f,,,,t,,t,,,,,,,,n,,,,,f,,,,,,t,,,,,,f,f,t,,,won
,,,,,,,,t,f,,f,l,,,f,,,,,,,,,,t,,,f,,,,,,,n,won
,f,,f,,,,,,f,,f,,,,f,,,f,,,,,,,,,f,,,f,,f,,,n,won
,f,,,,,,,,,f,,,,,f,,,,,,,,,,t,f,,,t,f,,,,,,won
,,,,,,,f,,,f,f,,,,,,,,,f,,,t,,,,f,,,,,,,,,won
,,,f,,,,f,,,t,f,,,,,f,t,,,,,f,,,,,,,,,,,,,,won
,,,,,,f,,,,t,,l,,,,,t,f,f,,,,,,,,,,,,,,,,,won
,,,,,f,,,,,,,,,,,,t,,f,,,f,,,,f,,f,,,,,t,,,won
,,,,,,,,,,t,,,,,f,f,,,,f,,,,,t,f,,,,,,,,t,,won
,,,,,,,f,,,,,,f,,,f,,,,,t,f,,,,f,,,,,,f,,t,,won
,,,,,f,,f,t,,,,,,,f,,,,,,,,,,,f,,f,,t,,,,,,won
,,,,,,,f,t,f,,,,f,,,,t,,,,,,,,,,,,f,t,,,,,,won
f,,,f,,,f,,t,,,,,,,f,,,,,,,,,,,,,,,t,,f,,,n,won
f,,,,,,f,,,,,,,,,,,,,,,,,,f,,,,,,,,,,t,,won
,,,,,,,,,,,,,,,,,,,,f,,,,,,,f,,,,,,,,,won
,f,,,,,,,f,f,,,,,n,,,,,,f,,,t,,t,,,,,,,,,,,won
,,,f,,f,,,t,,,f,,,,f,,,,,f,t,,,,t,f,,,f,,,,t,,,won
,,f,,f,,,f,,,,,l,,,,,t,f,,,t,,,,t,,,f,f,,f,,,,,won
,,f,,,,,,t,,,,,,,,,,,,,,f,,,t,,,f,,,,,,,,won
,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,f,,,,,,,t,,won
,,f,f,f,f,,f,,,,,l,,,,,,,f,,,f,f,,,,f,f,f,,,,,,,won
,,,,,,,,,,,f,,f,,f,,,,,,,,,,,,f,,f,t,,,t,,n,won
,,f,f,,f,,f,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,n,won
,f,,,,,,,,,,f,l,,,,,,f,,f,,,,f,,f,,,f,,,,,,,won
,,f,,,,,,,,,,,,,,,,,,,f,,f,f,,,,,,f,,,,,,won
,f,,f,,,,f,,f,,f,l,f,w,f,,,,,,,,,,,,f,f,,,,,,t,,won
f,,,f,,,,,,,,,,,,,,,,f,,,,,,,,f,,f,,,,,,,won
,f,,,,,,,,,,,,,,,,,,,f,f,,,,,,,,,t,,f,,,,won
,,,,,,,,,,,,l,f,,,,,,,,,,,,,,,,,t,,,,,,won
,,,,,,,f,,,,f,,f,,,,,,,,,,,,,f,,,,,,f,,,,won
,,,,,,f,,,f,,,,,,,,,,f,,f,f,,,t,,,,,,,,,,,won
f,,,,f,f,,,,,,f,,,,f,,,,,f,,,f,f,,,,,,,,f,,,n,won
,,,,,,,,,,,,,,w,,,,,,,,,f,,t,,,f,,,,,,,n,won
,f,,,,f,t,,f,f,,f,,,,f,,,f,,f,,,f,,,,f,,,,,,,,,won
,,,,,,,,,,,,,,,,,,,,,,,,,t,,,f,,,,,,,,won
,,,f,,f,,f,,,,,,,,,,,,f,,,f,,,,f,,f,,f,f,,t,,,won
f,,f,,f,,,,,,,f,,,,,,,,,,,,,,t,f,,,f,,,,,,,won
f,,,,,,,,,,t,,l,f,,,f,t,,,,t,,,,,,f,f,,,,,,,,won
t,f,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,t,,,,t,,won
t,,,,,f,,,,,,,,,,,,,f,f,,,,,,,,,f,,f,,f,,,,won
,,,,f,f,f,,,f,t,,,,,f,f,,f,,,f,f,,,,,,,,,,,,,,won
t,,,f,f,,,,f,,,,,,,,,,,,,f,f,,,,,,f,,,,,,,,won
,,f,,t,f,,,,,,,l,,n,f,,,,,,,,,,,,,,f,,,,t,,,won
,f,,,,f,,,,,,,,f,n,f,,,f,f,,,,f,,,,,,f,,,,,,n,won
,,f,,,,,,,,,,,f,n,,,,,,,f,,t,,,,,,,,,f,,,,won
,,,,,,,,,f,,,l,,n,,,,f,,,f,,,,,,,,,,,,,,,won
,,,,,,,,,,,,,,,,,,,,f,f,,,,,f,,,,,,,,,n,won
,,f,,,f,,,f,f,,f,,,,,,,,,,f,,,,,,,,f,,,f,,,,won
t,,,,,f,,f,f,,,f,,,,,f,,,,,,,,,,f,,,,,,f,,t,n,won
,,,,,f,,,,,,,l,,,,,,,,f,,,,f,,,,f,,f,,,,,,won
,,,,,,f,,,,,,,,,f,,,,f,,f,,,,t,f,,,,,,,,,,won
,,f,,,,,,,,t,,,,,,,,f,,,,,,,,,,,,t,,f,,,,won
,,,,,f,,,,f,t,,,,,,f,,,,,,f,,,,,f,f,,,,,,,,won
,,,,,f,f,,,,,f,,,,,,t,,f,,,,f,,t,f,,,,,f,,,,,won
,,f,,,,,,f,f,,,,,w,,f,,,f,,,f,,,,,,,,,,,,,,won
,,,f,,,f,,,,,,,,,f,,,,,,,,,,,,,,,f,,,,,,won
,,,f,f,,,f,,,,f,,f,,,,,,,f,,,f,,,,,,,f,,,,,,won
,f,,,f,,,f,,,,,,,n,,,f,f,,f,,f,,,,,,,,,,,,t,,won
f,,f,f,,,,f,,,f,,,,,,f,,,,,,f,,,,,,,,f,,,t,,,won
,f,,,,f,,,f,,,,,,,,f,,f,,,,,,f,,,f,,,,f,f,,t,,won
,,,,t,,,f,,,,,,f,,,f,,,,,,f,,,,,,,,,f,,f,,n,won
,f,f,,,,,,f,,,f,,f,,,f,,,,f,,,,f,,,,f,,,,,,t,,won
,,,f,,,f,f,,,f,,,f,,f,,f,,f,f,,,,,,,,,f,,f,,f,t,,won
,f,,,,f,,f,,,,,,,,,,,,,,,,,,,,,,f,,,,,,,won
,,,,,,,,,,f,,,,,,,,f,,,,,,,,f,f,,,,,,f,,,won
