COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR_AXIS_ASPECT_RATIO,MAX_LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR_AXIS_RECTANGULARITY,MAX_LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class
,,,,72.0,10.0,162.0,,20.0,,,,184.0,,,,187.0,197.0,van
,,84.0,141.0,,9.0,149.0,45.0,19.0,143.0,170.0,330.0,158.0,72.0,,14.0,,199.0,van
104.0,50.0,106.0,,,10.0,,,23.0,158.0,,635.0,220.0,73.0,,9.0,188.0,196.0,saab
93.0,,82.0,159.0,63.0,,,,19.0,,160.0,,127.0,63.0,6.0,10.0,,207.0,van
85.0,,,205.0,,52.0,,45.0,19.0,,,,,,9.0,11.0,180.0,183.0,bus
,57.0,106.0,172.0,50.0,,255.0,26.0,,169.0,,,,85.0,,,181.0,183.0,bus
,43.0,73.0,,,,,,,143.0,,361.0,172.0,,,,200.0,204.0,bus
,43.0,,,,9.0,,,18.0,,162.0,,,67.0,3.0,3.0,193.0,202.0,van
86.0,,62.0,,,,122.0,54.0,17.0,127.0,141.0,223.0,,64.0,2.0,14.0,,208.0,van
93.0,,98.0,,,11.0,183.0,36.0,22.0,,,,152.0,64.0,4.0,14.0,195.0,,saab
,36.0,70.0,143.0,61.0,,,50.0,18.0,,,266.0,,66.0,2.0,10.0,194.0,202.0,van
90.0,34.0,66.0,,55.0,,123.0,54.0,17.0,118.0,,,118.0,65.0,5.0,26.0,,202.0,saab
,46.0,74.0,,68.0,6.0,,43.0,,148.0,180.0,349.0,,71.0,,11.0,,,bus
89.0,42.0,85.0,,58.0,10.0,152.0,44.0,,,173.0,345.0,,72.0,8.0,13.0,,,van
94.0,49.0,79.0,203.0,71.0,5.0,174.0,37.0,,154.0,,,206.0,,,,197.0,199.0,bus
96.0,55.0,,201.0,65.0,9.0,204.0,32.0,23.0,166.0,227.0,624.0,,74.0,,2.0,186.0,194.0,opel
89.0,36.0,,109.0,,6.0,118.0,57.0,17.0,129.0,,,125.0,80.0,,14.0,181.0,,van
99.0,,77.0,,69.0,,,36.0,21.0,,202.0,485.0,151.0,,4.0,10.0,198.0,,bus
104.0,54.0,100.0,186.0,,,216.0,31.0,,,225.0,686.0,,74.0,5.0,11.0,185.0,,saab
101.0,56.0,100.0,215.0,,10.0,208.0,,24.0,,,,223.0,74.0,6.0,,,,opel
84.0,47.0,75.0,153.0,,,154.0,,,145.0,,354.0,184.0,75.0,0.0,3.0,185.0,,bus
84.0,37.0,53.0,121.0,59.0,5.0,123.0,,,,141.0,,,,,1.0,179.0,,van
,43.0,64.0,,,7.0,,,,142.0,,344.0,177.0,,9.0,1.0,199.0,,bus
,39.0,70.0,148.0,61.0,7.0,,46.0,18.0,,164.0,,,69.0,1.0,2.0,,199.0,bus
,53.0,105.0,,,,,,23.0,,,623.0,224.0,68.0,0.0,6.0,,,saab
85.0,45.0,80.0,154.0,64.0,,,,,,169.0,,174.0,71.0,,,188.0,199.0,van
83.0,,54.0,119.0,57.0,,,53.0,,,143.0,238.0,139.0,82.0,6.0,3.0,179.0,183.0,saab
107.0,,98.0,,65.0,11.0,,,,167.0,229.0,,216.0,,,,187.0,199.0,saab
102.0,45.0,85.0,193.0,64.0,6.0,,33.0,22.0,146.0,,570.0,163.0,76.0,,,195.0,,bus
80.0,,,129.0,,,146.0,46.0,,130.0,168.0,,158.0,83.0,9.0,20.0,180.0,185.0,saab
89.0,,,160.0,64.0,11.0,155.0,43.0,19.0,,173.0,356.0,174.0,,,,185.0,,van
88.0,,77.0,151.0,58.0,8.0,140.0,47.0,18.0,142.0,165.0,,158.0,64.0,10.0,,198.0,,saab
93.0,,,154.0,,,,,18.0,128.0,162.0,,120.0,64.0,5.0,13.0,197.0,,opel
101.0,,107.0,222.0,,10.0,,32.0,24.0,154.0,232.0,,,70.0,,38.0,190.0,,opel
87.0,38.0,85.0,177.0,61.0,8.0,164.0,,20.0,,186.0,,,,1.0,,198.0,205.0,opel
100.0,,90.0,172.0,,9.0,,43.0,20.0,150.0,,363.0,184.0,67.0,17.0,7.0,192.0,200.0,van
82.0,44.0,72.0,,52.0,,152.0,,,147.0,,,,82.0,2.0,,180.0,185.0,bus
90.0,,86.0,,126.0,,,44.0,19.0,156.0,272.0,,200.0,,0.0,15.0,185.0,194.0,van
106.0,,98.0,176.0,54.0,10.0,,31.0,24.0,171.0,235.0,,,74.0,1.0,9.0,187.0,,saab
81.0,45.0,,169.0,73.0,,,44.0,19.0,146.0,,336.0,,,,,,189.0,bus
95.0,,104.0,,67.0,9.0,,,,151.0,227.0,628.0,202.0,,5.0,9.0,,,opel
88.0,,51.0,105.0,,5.0,,57.0,,128.0,135.0,207.0,,86.0,,16.0,,183.0,van
,49.0,87.0,137.0,,,158.0,43.0,,,,,186.0,,5.0,5.0,183.0,194.0,van
93.0,37.0,76.0,183.0,63.0,8.0,,40.0,20.0,134.0,191.0,,139.0,,,,,197.0,saab
119.0,,,220.0,65.0,12.0,213.0,31.0,24.0,167.0,223.0,675.0,,66.0,20.0,1.0,192.0,202.0,saab
93.0,,82.0,145.0,,,159.0,43.0,20.0,,180.0,371.0,,77.0,2.0,,183.0,194.0,van
91.0,43.0,70.0,133.0,,8.0,130.0,51.0,,146.0,159.0,,156.0,70.0,1.0,8.0,190.0,194.0,van
,42.0,,,54.0,6.0,148.0,46.0,,141.0,,,174.0,,6.0,,180.0,182.0,bus
89.0,47.0,,147.0,,,156.0,,20.0,,170.0,,,76.0,6.0,13.0,,,van
91.0,,79.0,176.0,59.0,9.0,163.0,,20.0,148.0,184.0,404.0,,,0.0,10.0,,208.0,saab
78.0,38.0,63.0,,51.0,6.0,,,19.0,130.0,162.0,299.0,146.0,77.0,,4.0,,185.0,saab
,,71.0,,66.0,,154.0,43.0,,133.0,181.0,,,70.0,4.0,24.0,189.0,195.0,saab
98.0,,,228.0,70.0,,,,24.0,,236.0,661.0,,72.0,1.0,6.0,188.0,197.0,opel
101.0,42.0,,,,6.0,,43.0,19.0,139.0,,,165.0,,,11.0,,,bus
,,104.0,,53.0,6.0,257.0,,28.0,168.0,,956.0,230.0,83.0,5.0,26.0,180.0,,bus
,36.0,,151.0,,8.0,,,18.0,,,265.0,,62.0,,,201.0,208.0,van
,44.0,96.0,195.0,63.0,,,36.0,22.0,,202.0,,165.0,,4.0,,,199.0,saab
,47.0,84.0,133.0,55.0,11.0,,44.0,,160.0,169.0,354.0,176.0,,,9.0,182.0,192.0,van
107.0,,103.0,,,,209.0,32.0,24.0,163.0,222.0,653.0,,,,1.0,191.0,201.0,opel
,39.0,,,52.0,,,53.0,18.0,,148.0,241.0,,75.0,,,,187.0,van
103.0,50.0,98.0,212.0,63.0,9.0,,,,,214.0,,185.0,64.0,,5.0,198.0,,opel
,38.0,63.0,135.0,59.0,5.0,130.0,,18.0,130.0,,,,79.0,,21.0,,187.0,opel
,40.0,70.0,120.0,,8.0,137.0,50.0,18.0,141.0,162.0,269.0,,,10.0,13.0,183.0,183.0,van
83.0,42.0,66.0,156.0,67.0,,150.0,45.0,19.0,,174.0,,159.0,,4.0,,,,bus
